county,state_name,Location,lat,lng,population
Howard,Maryland,"Howard, Maryland",39.2507,-76.9312,318855
Luzerne,Pennsylvania,"Luzerne, Pennsylvania",41.177,-75.989,317663
Rutherford,Tennessee,"Rutherford, Tennessee",35.8427,-86.4167,315815
Escambia,Florida,"Escambia, Florida",30.6689,-87.3628,313491
Lancaster,Nebraska,"Lancaster, Nebraska",40.7842,-96.6878,313158
St. Lucie,Florida,"St. Lucie, Florida",27.3773,-80.472,312947
Durham,North Carolina,"Durham, North Carolina",36.036,-78.8766,311848
St. Louis,Missouri,"St. Louis, Missouri",38.6358,-90.2451,308174
McHenry,Illinois,"McHenry, Illinois",42.3244,-88.4523,307714
Lorain,Ohio,"Lorain, Ohio",41.2956,-82.1512,307670
Spartanburg,South Carolina,"Spartanburg, South Carolina",34.9312,-81.9908,307617
Albany,New York,"Albany, New York",42.6002,-73.9736,306968
Rockingham,New Hampshire,"Rockingham, New Hampshire",42.9876,-71.1254,306359
Weld,Colorado,"Weld, Colorado",40.5548,-104.3925,305345
Lubbock,Texas,"Lubbock, Texas",33.6102,-101.8205,304808
Northampton,Pennsylvania,"Northampton, Pennsylvania",40.7542,-75.3076,302809
Dutchess,New York,"Dutchess, New York",41.7651,-73.7429,293754
Anchorage,Alaska,"Anchorage, Alaska",61.1508,-149.1091,293531
Cumberland,Maine,"Cumberland, Maine",43.8464,-70.3988,292307
Gloucester,New Jersey,"Gloucester, New Jersey",39.7173,-75.1414,291165
Ingham,Michigan,"Ingham, Michigan",42.5971,-84.3735,290587
Lexington,South Carolina,"Lexington, South Carolina",33.9023,-81.2722,290278
Leon,Florida,"Leon, Florida",30.458,-84.2779,289770
Greene,Missouri,"Greene, Missouri",37.258,-93.342,289756
Chatham,Georgia,"Chatham, Georgia",32.0042,-81.1328,288496
Ottawa,Michigan,"Ottawa, Michigan",42.9598,-85.9961,286558
Winnebago,Illinois,"Winnebago, Illinois",42.3363,-89.1609,284819
Clayton,Georgia,"Clayton, Georgia",33.5419,-84.3576,283538
San Luis Obispo,California,"San Luis Obispo, California",35.3871,-120.4045,282165
Thurston,Washington,"Thurston, Washington",46.9258,-122.8332,279711
Cleveland,Oklahoma,"Cleveland, Oklahoma",35.2031,-97.3265,279274
Dauphin,Pennsylvania,"Dauphin, Pennsylvania",40.4155,-76.7795,275632
Santa Cruz,California,"Santa Cruz, California",37.0562,-122.0018,273962
Erie,Pennsylvania,"Erie, Pennsylvania",41.9926,-80.0328,273835
Webb,Texas,"Webb, Texas",27.7611,-99.3315,273526
Merced,California,"Merced, California",37.1919,-120.7177,271382
St. Joseph,Indiana,"St. Joseph, Indiana",41.6167,-86.2899,270216
New London,Connecticut,"New London, Connecticut",41.4866,-72.1015,267390
Atlantic,New Jersey,"Atlantic, New Jersey",39.4777,-74.661,266105
Kitsap,Washington,"Kitsap, Washington",47.6132,-122.6717,265882
York,South Carolina,"York, South Carolina",34.9747,-81.1844,265872
Benton,Arkansas,"Benton, Arkansas",36.3387,-94.2561,265759
Alachua,Florida,"Alachua, Florida",29.6747,-82.3577,265443
Madison,Illinois,"Madison, Illinois",38.8297,-89.9049,264776
Kalamazoo,Michigan,"Kalamazoo, Michigan",42.2455,-85.5312,262745
St. Clair,Illinois,"St. Clair, Illinois",38.4703,-89.9284,262338
Brown,Wisconsin,"Brown, Wisconsin",44.4529,-88.0037,261368
Marin,California,"Marin, California",38.0734,-122.7234,259943
Buncombe,North Carolina,"Buncombe, North Carolina",35.6112,-82.5301,256886
Washington,Minnesota,"Washington, Minnesota",45.0387,-92.8839,255938
St. Tammany,Louisiana,"St. Tammany, Louisiana",30.4102,-89.9583,255155
Jefferson,Texas,"Jefferson, Texas",29.8841,-94.1629,254340
Harford,Maryland,"Harford, Maryland",39.5611,-76.3171,252222
Weber,Utah,"Weber, Utah",41.2698,-111.9134,251498
Frederick,Maryland,"Frederick, Maryland",39.4722,-77.398,251422
McLennan,Texas,"McLennan, Texas",31.5524,-97.2018,251089
Yakima,Washington,"Yakima, Washington",46.4571,-120.7384,249697
Cumberland,Pennsylvania,"Cumberland, Pennsylvania",40.1636,-77.2655,249328
Cherokee,Georgia,"Cherokee, Georgia",34.2439,-84.4762,247515
Caddo,Louisiana,"Caddo, Louisiana",32.5801,-93.8823,245831
St. Johns,Florida,"St. Johns, Florida",29.9016,-81.4407,244674
Norfolk,Virginia,"Norfolk, Virginia",36.8945,-76.259,244601
Clay,Missouri,"Clay, Missouri",39.3105,-94.4209,242516
Lafayette,Louisiana,"Lafayette, Louisiana",30.2068,-92.0639,241973
